,City_Name,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,mataura,-46.19,168.86,58.95,74,83,2.93,NZ,1588477503
1,butaritari,3.07,172.79,83.35,81,32,14.79,KI,1588477241
2,san quintin,30.48,-115.95,64.45,77,0,14.63,MX,1588477261
3,georgetown,5.41,100.34,89.6,70,20,5.82,MY,1588477391
4,homer,59.64,-151.55,51.8,53,40,8.05,US,1588477462
5,barsi,18.23,75.7,96.78,18,7,14.29,IN,1588477504
6,bluff,-46.6,168.33,58.19,72,100,9.1,NZ,1588477504
7,guerrero negro,27.98,-114.06,63.99,83,0,16.93,MX,1588477504
8,yumen,40.28,97.2,70,20,99,25.26,CN,1588477320
9,pevek,69.7,170.31,31.39,93,2,3.98,RU,1588477504
10,ushuaia,-54.8,-68.3,40.1,83,33,4.47,AR,1588477504
11,yaan,7.38,8.57,78.15,84,86,7.94,NG,1588477505
12,faanui,-16.48,-151.75,82.15,78,79,14.74,PF,1588477505
13,taolanaro,,,,,,,,
14,victoria,22.29,114.16,86,62,20,10.29,HK,1588477368
15,fayetteville,35.05,-78.88,66.99,63,1,4.7,US,1588477339
16,na klang,17.31,102.19,95,52,20,3.36,TH,1588477506
17,klaksvik,62.23,-6.59,39.2,69,84,12.75,FO,1588477506
18,saint-philippe,-21.36,55.77,75.2,68,37,4.7,RE,1588477223
19,kyshtovka,56.55,76.63,49.46,69,89,10.25,RU,1588477506
20,busselton,-33.65,115.33,79,32,0,17.96,AU,1588477506
21,santa lucia,27.91,-15.54,64.4,88,20,2.24,ES,1588477506
22,albany,42.6,-73.97,59,63,82,4.09,US,1588477242
23,jamestown,42.1,-79.24,60.8,55,75,11.41,US,1588477507
24,kapaa,22.08,-159.32,78.8,65,20,18.34,US,1588477507
25,vaini,-21.2,-175.2,80.6,78,20,9.17,TO,1588477507
26,lebu,-37.62,-73.65,53.83,86,61,3.94,CL,1588477507
27,cherskiy,68.75,161.3,34.52,96,90,2.8,RU,1588477310
28,lokosovo,61.13,74.82,39.42,75,92,9.48,RU,1588477508
29,comodoro rivadavia,-45.87,-67.5,51.8,76,0,9.93,AR,1588477415
30,rikitea,-23.12,-134.97,75.81,74,58,13.65,PF,1588477508
31,whithorn,18.26,-78.04,82.4,78,40,4.7,JM,1588477508
32,gushikawa,26.35,127.87,78.8,88,75,14.99,JP,1588477508
33,fortuna,40.6,-124.16,54,87,1,3.36,US,1588477509
34,pangody,65.85,74.49,29.43,97,100,5.77,RU,1588477509
35,okato,-39.2,173.88,63,93,100,20,NZ,1588477297
36,dickson,36.08,-87.39,69.8,60,1,8.05,US,1588477509
37,punta arenas,-53.15,-70.92,39.2,86,40,8.05,CL,1588477509
38,puerto ayora,-0.74,-90.35,78.01,90,39,4,EC,1588477510
39,acapulco,16.86,-99.89,78.8,88,20,3.65,MX,1588477510
40,ponta do sol,32.67,-17.1,66.2,68,40,13.87,PT,1588477510
41,hobart,-42.88,147.33,55.99,50,75,11.41,AU,1588477211
42,da nang,16.07,108.22,89.6,66,20,4.7,VN,1588477510
43,tuktoyaktuk,69.45,-133.04,10.4,85,90,18.34,CA,1588477510
44,la libertad,-2.23,-80.9,74.88,80,5,7.83,EC,1588477511
45,upernavik,72.79,-56.15,23.25,97,100,15.82,GL,1588477511
46,new norfolk,-42.78,147.06,55.99,71,96,1.01,AU,1588477511
47,katsuura,35.13,140.3,80.01,57,74,20.8,JP,1588477511
48,kavaratti,10.57,72.64,87.8,70,20,5.82,IN,1588477511
49,esperance,-33.87,121.9,75.2,29,0,18.34,AU,1588477512
50,qaanaaq,77.48,-69.36,14.07,83,0,3.56,GL,1588477512
51,kebumen,-7.67,109.65,88.38,61,100,4.27,ID,1588477512
52,la ronge,55.1,-105.28,35.6,80,40,3.36,CA,1588477512
53,loudon,35.73,-84.33,64.4,68,1,4.7,US,1588477463
54,viedma,-40.81,-63,58.17,68,100,15.68,AR,1588477512
55,mergui,,,,,,,,
56,sal rei,16.18,-22.92,69.8,94,75,13.87,CV,1588477513
57,barrow,71.29,-156.79,17.6,78,75,5.82,US,1588477513
58,beloha,-25.17,45.05,64.18,80,0,3.22,MG,1588477513
59,avarua,-21.21,-159.78,80.6,78,100,14.99,CK,1588477513
60,geraldton,-28.77,114.6,78.8,24,0,9.17,AU,1588477357
61,bambanglipuro,-7.95,110.28,87.82,60,100,7.18,ID,1588477514
62,rawannawi,,,,,,,,
63,biltine,14.53,20.92,82.4,12,61,10.09,TD,1588477514
64,santa rosa,14.31,121.11,88,79,75,3.36,PH,1588477514
65,coquimbo,-29.95,-71.34,57.2,82,84,2.66,CL,1588477515
66,port elizabeth,-33.92,25.57,64.4,82,58,17.22,ZA,1588477515
67,port augusta,-32.5,137.77,60.8,63,62,8.05,AU,1588477515
68,carnarvon,-24.87,113.63,78.8,65,0,9.17,AU,1588477515
69,carballo,43.21,-8.69,54,85,77,3.02,ES,1588477515
70,oranjemund,-28.55,16.43,55.83,92,10,7.47,NA,1588477515
71,arraial do cabo,-22.97,-42.03,72.28,79,95,17.94,BR,1588477516
72,provideniya,64.38,-173.3,33.53,85,6,3.49,RU,1588477516
73,margate,51.38,1.39,48.99,71,99,1.99,GB,1588477516
74,atuona,-9.8,-139.03,82.08,77,50,21.23,PF,1588477516
75,adre,13.47,22.2,71.17,16,13,4.76,TD,1588477516
76,tiksi,71.69,128.87,15.84,91,0,6.87,RU,1588477517
77,maniitsoq,65.42,-52.9,33.19,95,100,18.99,GL,1588477517
78,khandyga,62.67,135.6,33.28,80,93,10.33,RU,1588477517
79,kailua,21.4,-157.74,80.6,61,40,16.11,US,1588477517
80,portland,45.52,-122.68,53.01,79,16,5.53,US,1588477367
81,fiche,9.8,38.73,54.82,38,88,1.32,ET,1588477517
82,mahebourg,-20.41,57.7,73.4,94,75,9.17,MU,1588477518
83,bredasdorp,-34.53,20.04,60.8,93,85,3.36,ZA,1588477518
84,bubaque,11.28,-15.83,78.01,77,0,10.63,GW,1588477518
85,hihifo,,,,,,,,
86,churapcha,62,132.43,35.11,74,0,13.31,RU,1588477518
87,hualmay,-11.1,-77.61,67.84,84,66,6.2,PE,1588477519
88,wanaka,-44.7,169.15,51.4,71,97,4.7,NZ,1588477519
89,dubenskiy,,,,,,,,
90,iqaluit,63.75,-68.51,15.8,85,75,20.8,CA,1588477363
91,broome,42.25,-75.83,55.99,54,90,5.82,US,1588477519
92,kilrush,52.64,-9.48,48.2,81,75,4.7,IE,1588477520
93,todos santos,23.45,-110.22,64,85,100,1.01,MX,1588477520
94,mys shmidta,,,,,,,,
95,ust-nera,64.57,143.2,30.92,78,100,10.76,RU,1588477520
96,lake havasu city,34.48,-114.32,86,11,1,8.05,US,1588477520
97,tsihombe,,,,,,,,
98,bilibino,68.05,166.44,32.77,81,17,2.15,RU,1588477521
99,emmett,43.87,-116.5,71.6,21,88,4.7,US,1588477493
100,nizhneyansk,,,,,,,,
101,hilo,19.73,-155.09,80.6,57,90,6.93,US,1588477521
102,yinchuan,38.47,106.27,76.26,17,70,14.63,CN,1588477521
103,illoqqortoormiut,,,,,,,,
104,mount gambier,-37.83,140.77,55.4,66,90,10.29,AU,1588477522
105,mar del plata,-38,-57.56,61,87,100,5.82,AR,1588477476
106,kodiak,57.79,-152.41,55.4,35,40,11.41,US,1588477522
107,mikhaylovsk,45.13,42.03,53.6,93,90,2.24,RU,1588477522
108,kruisfontein,-34,24.73,60.48,81,33,13.06,ZA,1588477260
109,muros,42.78,-9.06,54,95,97,4.27,ES,1588477523
110,bustamante,26.53,-100.5,81.46,47,84,11.14,MX,1588477523
111,tokur,53.13,132.9,36.27,57,62,8.72,RU,1588477523
112,torrington,41.8,-73.12,57,73,60,1.45,US,1588477523
113,lazaro cardenas,17.96,-102.2,75.49,77,0,1.95,MX,1588477523
114,torbay,47.67,-52.73,44.6,100,90,26.4,CA,1588477524
115,itoman,26.12,127.67,78.8,94,75,12.75,JP,1588477524
116,alofi,-19.06,-169.92,80.6,83,27,9.17,NU,1588477524
117,pyapon,16.28,95.68,92.88,46,58,5.35,MM,1588477524
118,naze,28.37,129.48,73.4,94,75,14.99,JP,1588477524
119,hermanus,-34.42,19.23,61.74,84,60,8.97,ZA,1588477525
120,thompson,55.74,-97.86,26.6,53,75,9.17,CA,1588477394
121,cabo san lucas,22.89,-109.91,80.6,14,40,14.54,MX,1588477486
122,saskylakh,71.92,114.08,21.24,94,10,6.17,RU,1588477525
123,castro,-24.79,-50.01,51.3,71,2,4.88,BR,1588477526
124,havoysund,71,24.66,37.4,74,99,19.46,NO,1588477526
125,periban,,,,,,,,
126,nanakuli,21.39,-158.15,80.6,61,75,13.87,US,1588477526
127,paris,48.85,2.35,53.01,66,99,4.7,FR,1588477505
128,kankon,15.02,74.02,86,74,40,8.05,IN,1588477527
129,dikson,73.51,80.55,18.39,96,88,7.65,RU,1588477527
130,port hardy,50.7,-127.42,48.2,76,75,8.05,CA,1588477528
131,gombe,10.29,11.17,82,62,92,12.5,NG,1588477528
132,fort nelson,58.81,-122.7,64.4,39,75,11.41,CA,1588477528
133,mandalgovi,45.76,106.27,54.9,20,0,3.56,MN,1588477237
134,formoso do araguaia,,,,,,,,
135,la orilla,17.98,-102.23,74.88,77,0,1.63,MX,1588477529
136,lorengau,-2.02,147.27,84.56,75,48,0.87,PG,1588477529
137,wanning,18.8,110.4,86.07,66,60,11.23,CN,1588477530
138,chokurdakh,70.63,147.92,16.09,95,100,5.03,RU,1588477530
139,xai-xai,-25.05,33.64,64.53,95,13,6.15,MZ,1588477530
140,tasiilaq,65.61,-37.64,32,97,100,9.17,GL,1588477530
141,ndele,8.41,20.65,76.75,58,68,7.36,CF,1588477531
142,touros,-5.2,-35.46,77,94,20,3.36,BR,1588477531
143,cape town,-33.93,18.42,64.99,93,75,9.17,ZA,1588477531
144,maceio,-9.67,-35.74,73.4,100,26,3.36,BR,1588477531
145,hithadhoo,-0.6,73.08,85.06,74,95,9.93,MV,1588477531
146,kjollefjord,70.95,27.35,34,89,98,13.4,NO,1588477532
147,requena,39.49,-1.1,55,70,58,3.09,ES,1588477532
148,okha,53.57,142.95,35.17,81,99,33.71,RU,1588477532
149,kaitangata,-46.28,169.85,64,57,79,1.01,NZ,1588477532
150,lieksa,63.32,30.02,39.67,90,100,8.63,FI,1588477533
151,altay,47.87,88.12,67.95,17,31,5.28,CN,1588477533
152,talnakh,69.49,88.4,30.2,58,6,8.95,RU,1588477533
153,lagoa,39.05,-27.98,57.81,66,13,13.38,PT,1588477533
154,severo-kurilsk,50.68,156.12,43.43,90,82,5.79,RU,1588477534
155,aksha,50.28,113.29,58.77,26,10,6.78,RU,1588477534
156,martil,35.62,-5.28,59,87,34,2.24,MA,1588477534
157,port moresby,-9.44,147.18,89.6,70,40,11.41,PG,1588477534
158,plaster rock,46.91,-67.39,39.2,64,1,4.7,CA,1588477535
159,sandovo,58.46,36.41,45.34,75,47,9.89,RU,1588477535
160,belushya guba,,,,,,,,
161,bethel,41.37,-73.41,62.01,66,90,3.8,US,1588477513
162,marcona,,,,,,,,
163,colares,38.8,-9.45,62.01,88,100,7.38,PT,1588477536
164,tabou,4.42,-7.35,80.51,87,77,6.62,CI,1588477536
165,tottori,35.5,134.23,68,72,90,8.05,JP,1588477336
166,durban,-29.86,31.03,64.99,72,0,5.82,ZA,1588477367
167,karasjok,69.47,25.51,35.6,80,95,25.28,NO,1588477537
168,jiujiang,29.73,115.98,91.09,44,0,2.51,CN,1588477537
169,yefimovskiy,,,,,,,,
170,nikolskoye,59.7,30.79,51.01,70,99,8.95,RU,1588477538
171,solnechnyy,50.72,136.63,52.86,34,52,8.9,RU,1588477538
172,goianapolis,-16.51,-49.02,66.2,82,70,3.36,BR,1588477538
173,virginia beach,36.85,-75.98,57.99,76,20,6.93,US,1588477404
174,leningradskiy,69.38,178.42,30.81,93,52,2.42,RU,1588477539
175,lompoc,34.64,-120.46,57.2,87,90,13.87,US,1588477250
176,bereda,43.27,-7.54,51.01,100,73,0.49,ES,1588477539
177,bukama,-9.2,25.85,67.75,77,32,2.1,CD,1588477539
178,port alfred,-33.59,26.89,64.99,85,78,3,ZA,1588477540
179,peniche,39.36,-9.38,57.99,91,100,1.99,PT,1588477540
180,nsanje,-16.92,35.26,61.79,91,99,1.63,MW,1588477540
181,airai,-8.93,125.41,71.44,52,98,5.39,TL,1588477541
182,caconda,-13.73,15.07,56.16,44,8,2.59,AO,1588477541
183,gondanglegi,-7.75,112.01,87.06,62,100,3.18,ID,1588477541
184,ganzhou,28.82,115.43,91.4,43,0,2.53,CN,1588477541
185,carbonia,39.17,8.52,64.99,87,40,2.24,IT,1588477542
186,srikakulam,18.3,83.9,90.91,60,33,14.47,IN,1588477542
187,peterhead,57.51,-1.8,43,84,0,2.24,GB,1588477542
188,saleaula,,,,,,,,
189,bryan,30.67,-96.37,77,73,1,16.11,US,1588477543
190,clyde river,70.47,-68.59,8.6,84,90,16.11,CA,1588477543
191,barentsburg,,,,,,,,
192,belyy yar,53.6,91.39,55.4,43,44,4.47,RU,1588477544
193,san pedro,14.35,121.02,88,79,75,3.36,PH,1588477544
194,ilulissat,69.22,-51.1,26.6,86,99,3.36,GL,1588477544
195,san carlos de bariloche,-41.15,-71.31,48.2,61,40,17.22,AR,1588477378
196,sakhon nakhon,17.16,104.15,96.8,47,20,3.36,TH,1588477545
197,amderma,,,,,,,,
198,amuntai,-2.42,115.25,86.86,66,96,0.56,ID,1588477545
199,kahului,20.89,-156.47,78.8,65,20,27.51,US,1588477545
200,fort smith,35.39,-94.4,73.4,69,1,3.33,US,1588477545
201,urumqi,43.8,87.6,75.2,15,2,6.71,CN,1588477545
202,cururupu,-1.83,-44.87,75.65,94,1,2.62,BR,1588477546
203,ribeira grande,38.52,-28.7,58.32,64,81,13.2,PT,1588477546
204,vila velha,-20.33,-40.29,73,94,0,2.24,BR,1588477458
205,puerto escondido,15.85,-97.07,82.11,66,1,3.58,MX,1588477308
206,sentyabrskiy,,,,,,,,
207,souillac,-20.52,57.52,73.4,94,75,9.17,MU,1588477259
208,lasa,46.62,10.7,30.2,92,26,4.7,IT,1588477547
209,acarau,-2.89,-40.12,77.5,88,9,8.19,BR,1588477547
210,lokoja,7.8,6.74,78.15,85,100,4.29,NG,1588477547
211,alyangula,-13.85,136.42,86,51,75,9.17,AU,1588477548
212,yellowknife,62.46,-114.35,41,87,20,5.82,CA,1588477548
213,santa cruz cabralia,-16.28,-39.02,75.2,88,40,1.12,BR,1588477548
214,mbuji-mayi,-6.15,23.6,69.64,79,78,3.09,CD,1588477548
215,vagur,61.47,-6.81,41.86,74,70,14.74,FO,1588477548
216,port macquarie,-31.43,152.92,68,48,1,1.01,AU,1588477549
217,norman wells,65.28,-126.83,32,96,90,16.11,CA,1588477549
218,kholmogory,64.22,41.66,37.4,55,93,6.71,RU,1588477549
219,richards bay,-28.78,32.04,62.22,73,0,5.82,ZA,1588477549
220,conway,35.09,-92.44,73.4,69,1,8.05,US,1588477550
221,uinskoye,56.88,56.58,40.46,65,68,7.92,RU,1588477550
222,bengkulu,-3.8,102.27,85.6,65,100,4.25,ID,1588477550
223,isangel,-19.55,169.27,80.49,76,65,9.78,VU,1588477550
224,treinta y tres,-33.23,-54.38,49.05,88,0,3.2,UY,1588477551
225,igarka,67.47,86.58,31.51,99,100,7.25,RU,1588477551
226,coahuayana,18.73,-103.68,72.93,64,0,1.52,MX,1588477551
227,harnosand,62.63,17.94,33.8,83,45,6.93,SE,1588477552
228,olafsvik,64.89,-23.71,36.39,74,59,3.87,IS,1588477552
229,cayenne,4.93,-52.33,77,100,75,6.24,GF,1588477552
230,bandarbeyla,9.49,50.81,86.34,71,94,9.28,SO,1588477552
231,tuatapere,-46.13,167.68,57.16,82,96,5.57,NZ,1588477553
232,hofn,64.25,-15.21,34.74,78,0,10.11,IS,1588477553
233,riyadh,24.69,46.72,75.2,22,89,8.05,SA,1588477375
234,cabedelo,-6.98,-34.83,77,94,20,2.24,BR,1588477554
235,fort wellington,6.4,-57.6,78.58,86,19,9.26,GY,1588477554
236,gorom-gorom,14.44,-0.24,84.9,13,0,7.16,BF,1588477554
237,langfang,39.51,116.69,84.99,73,20,4.47,CN,1588477555
238,necochea,-38.55,-58.74,50,97,91,1.99,AR,1588477555
239,linxia,35.6,103.21,75.78,10,0,3.53,CN,1588477555
240,constitucion,-35.33,-72.42,58.26,87,100,8.08,CL,1588477555
241,mogadishu,2.04,45.34,82.96,79,99,14.12,SO,1588477367
242,east london,-33.02,27.91,60.8,82,9,13.87,ZA,1588477556
243,bikaner,28.02,73.3,101.44,14,4,9.42,IN,1588477556
244,hudson bay,52.85,-102.38,30.7,86,62,4.54,CA,1588477557
245,praya,14.92,-23.51,73.4,53,0,8.05,CV,1588477557
246,bull savanna,17.89,-77.59,75.42,80,87,3.76,JM,1588477557
247,noyabrsk,63.2,75.45,33.28,88,99,7.34,RU,1588477558
248,codrington,-38.27,141.97,53.44,71,100,11.32,AU,1588477558
249,srednekolymsk,67.45,153.68,33.01,95,100,10.38,RU,1588477558
250,college,64.86,-147.8,50,25,40,12.75,US,1588477380
251,bradford,53.79,-1.75,42.01,90,97,0.78,GB,1588477478
252,matara,5.95,80.54,89.01,61,0,2.1,LK,1588477559
253,kudahuvadhoo,2.67,72.89,85.19,76,67,12.84,MV,1588477559
254,poum,-20.23,164.02,79.63,76,90,10.31,NC,1588477560
255,zeya,53.75,127.27,46.83,38,0,8.99,RU,1588477560
256,vestmannaeyjar,63.44,-20.27,36.99,77,6,6.64,IS,1588477560
257,daru,-9.08,143.21,82.9,85,62,12.06,PG,1588477560
258,hamilton,39.18,-84.53,72,56,20,9.17,US,1588477355
259,san policarpo,12.18,125.51,83.64,85,94,12.64,PH,1588477561
260,mihijam,23.85,86.88,89.4,40,0,6.17,IN,1588477561
261,samarai,-10.62,150.67,82.06,80,56,13.91,PG,1588477562
262,laguna,38.42,-121.42,66.2,68,1,11.41,US,1588477562
263,saldanha,-33.01,17.94,60.8,93,50,4.7,ZA,1588477506
264,mezen,65.85,44.24,32.76,93,97,5.44,RU,1588477562
265,luderitz,-26.65,15.16,62.89,54,0,15.37,NA,1588477563
266,avera,33.19,-82.53,60.8,93,1,4.85,US,1588477291
267,batagay-alyta,67.8,130.41,19.33,83,68,3.13,RU,1588477563
268,ambon,-3.7,128.18,89.6,70,40,6.93,ID,1588477563
269,dingle,11,122.67,95.27,46,82,11.1,PH,1588477564
270,abrau-dyurso,44.69,37.59,53.01,93,75,6.71,RU,1588477564
271,mosquera,4.71,-74.23,51.8,87,20,9.17,CO,1588477564
272,pont-sainte-maxence,49.3,2.6,50,61,98,8.05,FR,1588477564
273,pemba,-12.97,40.52,73.69,83,7,13.44,MZ,1588477565
274,pisco,-13.7,-76.22,66.99,82,51,11.41,PE,1588477565
275,palabuhanratu,,,,,,,,
276,lypnyazhka,48.45,31.08,53.13,82,37,4.94,UA,1588477566
277,isla mujeres,21.23,-86.73,80.6,83,75,5.82,MX,1588477388
278,ambilobe,-13.2,49.05,75.04,78,80,2.71,MG,1588477566
279,mahad,18.08,73.42,94.68,41,24,3.13,IN,1588477566
280,itaituba,-4.28,-55.98,73.9,87,100,1.86,BR,1588477567
281,salalah,17.02,54.09,84.2,89,75,1.12,OM,1588477567
282,lugo,43,-7.5,51.01,100,70,1.5,ES,1588477567
283,lubao,14.92,120.55,93.2,56,75,11.41,PH,1588477568
284,rancho palos verdes,33.74,-118.39,66,72,5,4.7,US,1588477301
285,chuy,-33.7,-53.46,54.12,81,7,3.36,UY,1588477568
286,ban bung,18.31,100.7,91.4,58,95,2.24,TH,1588477569
287,cidreira,-30.18,-50.21,59.11,80,4,4.25,BR,1588477569
288,bingol,38.88,40.49,50.25,49,11,1.9,TR,1588477364
289,nadym,65.53,72.52,27.12,98,100,11.25,RU,1588477569
290,naryan-mar,67.67,53.09,22.23,96,74,7.38,RU,1588477570
291,half moon bay,37.46,-122.43,63,93,90,5.03,US,1588477571
292,lac du bonnet,50.25,-96.06,34,73,95,7,CA,1588477571
293,quatre cocos,-20.21,57.76,75.99,94,75,9.17,MU,1588477571
294,naumburg,51.15,11.82,44.01,85,47,9.86,DE,1588477572
295,kenora,49.82,-94.43,35.01,69,90,13.87,CA,1588477358
296,vuktyl,63.86,57.31,28.85,94,89,9.33,RU,1588477572
297,aksarka,66.56,67.8,23.49,97,100,11.12,RU,1588477573
298,imbituba,-28.24,-48.67,64.4,68,11,9.17,BR,1588477329
299,coihaique,-45.58,-72.07,44.6,87,90,4.7,CL,1588477573
300,bonaberi,4.08,9.68,77,94,40,1.12,CM,1588477573
301,kavieng,-2.57,150.8,83.01,75,100,4.29,PG,1588477573
302,verkhnyaya inta,65.98,60.31,25.61,94,99,10.74,RU,1588477574
303,ji-parana,,,,,,,,
304,sitka,57.05,-135.33,48.2,81,90,14.99,US,1588477574
305,yulara,-25.24,130.99,68,40,0,16.11,AU,1588477574
306,nouadhibou,20.93,-17.03,62.6,93,75,13.87,MR,1588477558
